variable,group,label
"Application Trip 1, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 2: Timing,application_trips,Application Trips
Application Trip 2: Method,application_trips,Application Trips
Application Trip 2: Number of Herbicides,application_trips,Application Trips
Application Trip 2: Number of Insecticides,application_trips,Application Trips
Application Trip 2: Number of Fungicides,application_trips,Application Trips
Application Trip 2: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 2: Number of Fumigants,application_trips,Application Trips
Application Trip 2: Number of Harvest Aids,application_trips,Application Trips
Application Trip 2: Number of Fertilizers,application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 2, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 3: Timing,application_trips,Application Trips
Application Trip 3: Method,application_trips,Application Trips
Application Trip 3: Number of Herbicides,application_trips,Application Trips
Application Trip 3: Number of Insecticides,application_trips,Application Trips
Application Trip 3: Number of Fungicides,application_trips,Application Trips
Application Trip 3: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 3: Number of Fumigants,application_trips,Application Trips
Application Trip 3: Number of Harvest Aids,application_trips,Application Trips
Application Trip 3: Number of Fertilizers,application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 3, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 4: Timing,application_trips,Application Trips
Application Trip 4: Method,application_trips,Application Trips
Application Trip 4: Number of Herbicides,application_trips,Application Trips
Application Trip 4: Number of Insecticides,application_trips,Application Trips
Application Trip 4: Number of Fungicides,application_trips,Application Trips
Application Trip 4: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 4: Number of Fumigants,application_trips,Application Trips
Application Trip 4: Number of Harvest Aids,application_trips,Application Trips
Application Trip 4: Number of Fertilizers,application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 4, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 5: Timing,application_trips,Application Trips
Application Trip 5: Method,application_trips,Application Trips
Application Trip 5: Number of Herbicides,application_trips,Application Trips
Application Trip 5: Number of Insecticides,application_trips,Application Trips
Application Trip 5: Number of Fungicides,application_trips,Application Trips
Application Trip 5: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 5: Number of Fumigants,application_trips,Application Trips
Application Trip 5: Number of Harvest Aids,application_trips,Application Trips
Application Trip 5: Number of Fertilizers,application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 5, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 6: Timing,application_trips,Application Trips
Application Trip 6: Method,application_trips,Application Trips
Application Trip 6: Number of Herbicides,application_trips,Application Trips
Application Trip 6: Number of Insecticides,application_trips,Application Trips
Application Trip 6: Number of Fungicides,application_trips,Application Trips
Application Trip 6: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 6: Number of Fumigants,application_trips,Application Trips
Application Trip 6: Number of Harvest Aids,application_trips,Application Trips
Application Trip 6: Number of Fertilizers,application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 6, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 7: Timing,application_trips,Application Trips
Application Trip 7: Method,application_trips,Application Trips
Application Trip 7: Number of Herbicides,application_trips,Application Trips
Application Trip 7: Number of Insecticides,application_trips,Application Trips
Application Trip 7: Number of Fungicides,application_trips,Application Trips
Application Trip 7: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 7: Number of Fumigants,application_trips,Application Trips
Application Trip 7: Number of Harvest Aids,application_trips,Application Trips
Application Trip 7: Number of Fertilizers,application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 7, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 8: Timing,application_trips,Application Trips
Application Trip 8: Method,application_trips,Application Trips
Application Trip 8: Number of Herbicides,application_trips,Application Trips
Application Trip 8: Number of Insecticides,application_trips,Application Trips
Application Trip 8: Number of Fungicides,application_trips,Application Trips
Application Trip 8: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 8: Number of Fumigants,application_trips,Application Trips
Application Trip 8: Number of Harvest Aids,application_trips,Application Trips
Application Trip 8: Number of Fertilizers,application_trips,Application Trips
Application Trip 8: Fertilizer,application_trips,Application Trips
Application Trip 9: Timing,application_trips,Application Trips
Application Trip 9: Method,application_trips,Application Trips
Application Trip 9: Number of Herbicides,application_trips,Application Trips
Application Trip 9: Number of Insecticides,application_trips,Application Trips
Application Trip 9: Number of Fungicides,application_trips,Application Trips
Application Trip 9: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 9: Number of Fumigants,application_trips,Application Trips
Application Trip 9: Number of Harvest Aids,application_trips,Application Trips
Application Trip 9: Number of Fertilizers,application_trips,Application Trips
Application Trip 9: Fertilizer,application_trips,Application Trips
Application Trip 10: Timing,application_trips,Application Trips
Application Trip 10: Method,application_trips,Application Trips
Application Trip 10: Number of Herbicides,application_trips,Application Trips
Application Trip 10: Number of Insecticides,application_trips,Application Trips
Application Trip 10: Number of Fungicides,application_trips,Application Trips
Application Trip 10: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 10: Number of Fumigants,application_trips,Application Trips
Application Trip 10: Number of Harvest Aids,application_trips,Application Trips
Application Trip 10: Number of Fertilizers,application_trips,Application Trips
Application Trip 10: Fertilizer,application_trips,Application Trips
Application Trip 11: Timing,application_trips,Application Trips
Application Trip 11: Method,application_trips,Application Trips
Application Trip 11: Number of Herbicides,application_trips,Application Trips
Application Trip 11: Number of Insecticides,application_trips,Application Trips
Application Trip 11: Number of Fungicides,application_trips,Application Trips
Application Trip 11: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 11: Number of Fumigants,application_trips,Application Trips
Application Trip 11: Number of Harvest Aids,application_trips,Application Trips
Application Trip 11: Number of Fertilizers,application_trips,Application Trips
Application Trip 11: Fertilizer,application_trips,Application Trips
Application Trip 12: Timing,application_trips,Application Trips
Application Trip 12: Method,application_trips,Application Trips
Application Trip 12: Number of Herbicides,application_trips,Application Trips
Application Trip 12: Number of Insecticides,application_trips,Application Trips
Application Trip 12: Number of Fungicides,application_trips,Application Trips
Application Trip 12: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 12: Number of Fumigants,application_trips,Application Trips
Application Trip 12: Number of Harvest Aids,application_trips,Application Trips
Application Trip 12: Number of Fertilizers,application_trips,Application Trips
Application Trip 12: Fertilizer,application_trips,Application Trips
Application Trip 13: Timing,application_trips,Application Trips
Application Trip 13: Method,application_trips,Application Trips
Application Trip 13: Number of Herbicides,application_trips,Application Trips
Application Trip 13: Number of Insecticides,application_trips,Application Trips
Application Trip 13: Number of Fungicides,application_trips,Application Trips
Application Trip 13: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 13: Number of Fumigants,application_trips,Application Trips
Application Trip 13: Number of Harvest Aids,application_trips,Application Trips
Application Trip 13: Number of Fertilizers,application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
"Application Trip 13, Fertilizer 1: Fertilizer Custom Blend Potassium (%)",application_trips,Application Trips
Application Trip 14: Timing,application_trips,Application Trips
Application Trip 14: Method,application_trips,Application Trips
Application Trip 14: Number of Herbicides,application_trips,Application Trips
Application Trip 14: Number of Insecticides,application_trips,Application Trips
Application Trip 14: Number of Fungicides,application_trips,Application Trips
Application Trip 14: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 14: Number of Fumigants,application_trips,Application Trips
Application Trip 14: Number of Harvest Aids,application_trips,Application Trips
Application Trip 14: Number of Fertilizers,application_trips,Application Trips
Application Trip 14: Fertilizer,application_trips,Application Trips
Application Trip 15: Timing,application_trips,Application Trips
Application Trip 15: Method,application_trips,Application Trips
Application Trip 15: Number of Herbicides,application_trips,Application Trips
Application Trip 15: Number of Insecticides,application_trips,Application Trips
Application Trip 15: Number of Fungicides,application_trips,Application Trips
Application Trip 15: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 15: Number of Fumigants,application_trips,Application Trips
Application Trip 15: Number of Harvest Aids,application_trips,Application Trips
Application Trip 15: Number of Fertilizers,application_trips,Application Trips
Application Trip 15: Fertilizer,application_trips,Application Trips
Application Trip 16: Timing,application_trips,Application Trips
Application Trip 16: Method,application_trips,Application Trips
Application Trip 16: Number of Herbicides,application_trips,Application Trips
Application Trip 16: Number of Insecticides,application_trips,Application Trips
Application Trip 16: Number of Fungicides,application_trips,Application Trips
Application Trip 16: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 16: Number of Fumigants,application_trips,Application Trips
Application Trip 16: Number of Harvest Aids,application_trips,Application Trips
Application Trip 16: Number of Fertilizers,application_trips,Application Trips
Application Trip 16: Fertilizer,application_trips,Application Trips
Application Trip 17: Timing,application_trips,Application Trips
Application Trip 17: Method,application_trips,Application Trips
Application Trip 17: Number of Herbicides,application_trips,Application Trips
Application Trip 17: Number of Insecticides,application_trips,Application Trips
Application Trip 17: Number of Fungicides,application_trips,Application Trips
Application Trip 17: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 17: Number of Fumigants,application_trips,Application Trips
Application Trip 17: Number of Harvest Aids,application_trips,Application Trips
Application Trip 17: Number of Fertilizers,application_trips,Application Trips
Application Trip 17: Fertilizer,application_trips,Application Trips
Application Trip 18: Timing,application_trips,Application Trips
Application Trip 18: Method,application_trips,Application Trips
Application Trip 18: Number of Herbicides,application_trips,Application Trips
Application Trip 18: Number of Insecticides,application_trips,Application Trips
Application Trip 18: Number of Fungicides,application_trips,Application Trips
Application Trip 18: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 18: Number of Fumigants,application_trips,Application Trips
Application Trip 18: Number of Harvest Aids,application_trips,Application Trips
Application Trip 18: Number of Fertilizers,application_trips,Application Trips
Application Trip 18: Fertilizer,application_trips,Application Trips
Application Trip 19: Timing,application_trips,Application Trips
Application Trip 19: Method,application_trips,Application Trips
Application Trip 19: Number of Herbicides,application_trips,Application Trips
Application Trip 19: Number of Insecticides,application_trips,Application Trips
Application Trip 19: Number of Fungicides,application_trips,Application Trips
Application Trip 19: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 19: Number of Fumigants,application_trips,Application Trips
Application Trip 19: Number of Harvest Aids,application_trips,Application Trips
Application Trip 19: Number of Fertilizers,application_trips,Application Trips
Application Trip 19: Fertilizer,application_trips,Application Trips
Number of Manure Applications,application_trips,Application Trips
Manure Application 1: Timing,application_trips,Application Trips
Manure Application 1: Method,application_trips,Application Trips
Manure Application 1: Manure Type,application_trips,Application Trips
Manure Application 1: Manure Amount,application_trips,Application Trips
Manure Application 1: Manure Amount Units,application_trips,Application Trips
Manure Application 1: Rice Only: Organic Fertilizer Type,application_trips,Application Trips
Manure Application 1: Pounds of N per Acre (lb/acre),application_trips,Application Trips
Manure Application 1: Pounds of P per Acre (lb/acre),application_trips,Application Trips
Number of Harvests / Cuttings,application_trips,Application Trips
Harvest 1: Entered Yield,application_trips,Application Trips
Harvest 1: Entered Yield Units,application_trips,Application Trips
Harvest 1: Estimated Non-Irrigated Yield,application_trips,Application Trips
Harvest 1: Estimated Non-Irrigated Yield Units,application_trips,Application Trips
Harvest 1: Alfalfa Only: Average Harvest Moisture (%),application_trips,Application Trips
Harvest 1: Alfalfa Only: Harvest Type,application_trips,Application Trips
Harvest 1: Rice Only: How is your yield calculated?,application_trips,Application Trips
Harvest 1: Rice Only: Did you harvest a ratoon crop?,application_trips,Application Trips
Harvest 1: Sugar Beets Only: Percent Sugar (%),application_trips,Application Trips
Harvest 1: Did you abandon or not harvest any acres you planted for this year?,application_trips,Application Trips
Harvest 1: Harvested Area (ac),application_trips,Application Trips
Harvest 1: Difference Reason,application_trips,Application Trips
Harvest 1: Drying System,application_trips,Application Trips
Harvest 1: Alfalfa Drying System,application_trips,Application Trips
Harvest 1: Enter exact drying energy amount?,application_trips,Application Trips
Harvest 1: Points of Moisture Removed from Drying (%),application_trips,Application Trips
Harvest 1: Drying Energy Source,application_trips,Application Trips
